model,split,loss,accuracy,macro_f1
LSTM,valid,0.34021045474211375,0.9113333333333333,0.9107712639294417
Transformer Encoder,valid,0.31027316869795324,0.9118333333333334,0.9114861284875214
LSTM,test,0.3458585989945813,0.9119736842105263,0.9117931165575544
Transformer Encoder,test,0.30658303241980706,0.9125,0.9126402210820698
