model,max_sequence_length,valid_loss,valid_accuracy,valid_macro_f1
LSTM,128,0.34021045474211375,0.9113333333333333,0.9107712639294417
Transformer Encoder,128,0.31027316869795324,0.9118333333333334,0.9114861284875214
LSTM,256,0.3534889331360658,0.9065,0.9057903708378656
Transformer Encoder,256,0.33041111185153327,0.90625,0.9059285276701743
