model,train_fraction,valid_accuracy,valid_macro_f1
LSTM,0.25,0.8719166666666667,0.8713421235717774
Transformer Encoder,0.25,0.8699166666666667,0.8695507856840325
LSTM,0.5,0.8944166666666666,0.8939575115156392
Transformer Encoder,0.5,0.8900833333333333,0.8894807769900985
LSTM,1.0,0.9089166666666667,0.9081825623803086
Transformer Encoder,1.0,0.9145833333333333,0.9142372643009988
